"Horodateur","Quel âge avez-vous ?  :","Sexe : ","Connaissez-vous Arduino ? :","Vous êtes intéressés par : ","Avez-vous déjà fait de la programmation ? ","Quel niveau avez-vous en programmation Arduino ? ","Quel niveau aimeriez-vous acquérir ? :","Cela vous dérange-t-il de lire du cours pour apprendre de nouvelles notions? :","Effectuer des montages électroniques vous pose-t-il un problème ? :","Êtes-vous autodidacte ? :"
"2016/05/04 2:04:03 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/04 2:12:49 PM UTC+2","de 15 à 18 ans","M","OUI","Aucun","Oui","aucun","base","Oui","Oui","Oui"
"2016/05/04 2:13:11 PM UTC+2","de 18 à 25 ans","M","NON","Domotique","Non","aucun","avancé","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 2:20:49 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Oui","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/04 2:21:03 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Oui","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/04 2:27:38 PM UTC+2","de 18 à 25 ans","F","OUI","Electronique embarquée en général","Oui","base","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/04 2:30:31 PM UTC+2","de 18 à 25 ans","M","NON","Domotique","Non","aucun","expert","Non","Oui","Oui"
"2016/05/04 2:32:43 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non","Non","Oui"
"2016/05/04 3:40:59 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","base","base","Non","Non","Oui"
"2016/05/04 3:45:48 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/04 3:58:04 PM UTC+2","de 18 à 25 ans","M","NON","Electronique embarquée en général","Oui","base","avancé","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/04 4:13:11 PM UTC+2","de 15 à 18 ans","M","OUI","Electronique embarquée en général;Microprocesseur","Oui","base","base","Non","Non","Oui"
"2016/05/04 4:16:02 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général","Non","aucun","base","Oui","Non, s'il y en a peu","Oui"
"2016/05/04 5:01:51 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Microprocesseur","Oui","aucun","expert","Non, s'il y en a peu","Non","Oui"
"2016/05/04 5:03:16 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Microprocesseur","Oui","base","base","Non","Non","Oui"
"2016/05/04 5:38:15 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/04 6:55:40 PM UTC+2","de 18 à 25 ans","F","OUI","Electronique embarquée en général;Robotique;Domotique","Oui","base","avancé","Non","Non, s'il y en a peu","Oui"
"2016/05/04 7:37:37 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Oui","Non, j'ai besoin d'être suivi"
"2016/05/04 8:14:50 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général","Oui","aucun","avancé","Non","Non","Oui"
"2016/05/04 8:34:54 PM UTC+2","moins de 15 ans","M","NON","Aucun","Non","aucun","expert","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/04 8:36:00 PM UTC+2","de 15 à 18 ans","M","OUI","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Un peu","aucun","expert","Non","Non","Oui"
"2016/05/04 8:37:51 PM UTC+2","moins de 15 ans","M","NON","Aucun","Non","aucun","avancé","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/04 8:40:45 PM UTC+2","moins de 15 ans","M","NON","Robotique","Un peu","aucun","avancé","Oui","Non, s'il y en a peu","Oui"
"2016/05/04 9:54:57 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général;Robotique;Domotique","Non","aucun","avancé","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/05 11:04:48 AM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Oui","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/05 12:21:19 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/05 1:06:09 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/05 3:43:00 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique;Domotique","Oui","base","base","Non","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/05 6:13:32 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Un peu","base","base","Non","Non, s'il y en a peu","Oui"
"2016/05/06 9:01:31 AM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/06 9:32:09 AM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Non","Oui"
"2016/05/06 10:46:23 AM UTC+2","de 18 à 25 ans","F","OUI","Aucun","Un peu","aucun","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/06 12:16:00 PM UTC+2","de 25 à 30 ans","F","NON","Aucun","Non","aucun","base","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/06 1:32:40 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Un peu","base","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/06 3:47:17 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général;Robotique;Domotique;Microprocesseur","Non","aucun","base","Oui","Non, s'il y en a peu","Oui"
"2016/05/06 3:53:22 PM UTC+2","de 18 à 25 ans","F","NON","Robotique;Domotique","Non","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/06 5:49:30 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général","Un peu","base","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/07 10:45:57 AM UTC+2","de 15 à 18 ans","M","OUI","Microprocesseur","Oui","base","base","Non","Non","Oui"
"2016/05/07 1:16:22 PM UTC+2","de 15 à 18 ans","F","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Oui","Oui"
"2016/05/07 2:37:47 PM UTC+2","de 18 à 25 ans","F","OUI","Aucun","Un peu","base","base","Non, s'il y en a peu","Non","Oui"
"2016/05/07 4:06:15 PM UTC+2","de 18 à 25 ans","M","NON","Robotique","Non","aucun","base","Oui","Oui","Non, j'ai besoin d'être suivi"
"2016/05/08 11:02:15 AM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général;Robotique","Non","aucun","base","Non","Non","Non, j'ai besoin d'être suivi"
"2016/05/08 1:54:09 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Domotique;Microprocesseur","Oui","avancé","expert","Non","Non","Oui"
"2016/05/08 2:55:13 PM UTC+2","de 18 à 25 ans","M","NON","Robotique;Domotique","Un peu","aucun","base","Oui","Non","Non, j'ai besoin d'être suivi"
"2016/05/08 3:55:14 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/08 7:58:42 PM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","base","avancé","Non","Non","Oui"
"2016/05/09 6:20:34 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/09 7:05:56 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Oui","Oui","Oui"
"2016/05/09 10:35:01 PM UTC+2","de 18 à 25 ans","F","OUI","Aucun","Oui","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/10 8:16:00 AM UTC+2","de 18 à 25 ans","M","NON","Aucun","Oui","aucun","base","Non","Non","Non, j'ai besoin d'être suivi"
